Filter,T,d,n,is_64_bit,average_time,compile_time,Value
Information Filter,147,2,3,True,0.04627504348754883,5.407042503356934,-3.0865875082386436e+59
Sqrt Filter,147,2,3,True,0.023271012306213378,0.45572829246520996,-1088.1803241423372
Sqrt Inf Filter,147,2,3,True,0.032120776176452634,5.844047784805298,-1.678844349461844e+57
Kalman Filter,148,2,3,True,0.027550005912780763,0.4411153793334961,-1094.8732000970094
Information Filter,148,2,3,True,0.048439621925354004,5.909159898757935,-4.060144312842225e+60
Sqrt Filter,148,2,3,True,0.02434208393096924,0.45217466354370117,-1094.8732000970097
Sqrt Inf Filter,148,2,3,True,0.03270080089569092,8.344022274017334,-1.476619301968582e+58
Kalman Filter,149,2,3,True,0.027861309051513673,0.44998836517333984,-1101.5660760516819
Information Filter,149,2,3,True,0.04757246971130371,5.970204830169678,-5.132079472538786e+60
Sqrt Filter,149,2,3,True,0.023613452911376953,0.4431614875793457,-1101.566076051682
Sqrt Inf Filter,149,2,3,True,0.032139039039611815,6.826840162277222,-1.1809624553531227e+59
Kalman Filter,150,2,3,True,0.027887940406799316,0.4297370910644531,-1108.2589520063543
Information Filter,150,2,3,True,0.048442506790161134,5.97681188583374,-7.037987822890554e+61
Sqrt Filter,150,2,3,True,0.025048351287841795,0.5221836566925049,-1108.2589520063545
Sqrt Inf Filter,150,2,3,True,0.032192063331604,6.775592565536499,-3.9899923123580794e+59
Kalman Filter,151,2,3,True,0.028093552589416503,0.44820427894592285,-1114.9518279610268
Information Filter,151,2,3,True,0.049138212203979494,5.418535947799683,-8.793104916787993e+61
Sqrt Filter,151,2,3,True,0.024188804626464843,0.5060701370239258,-1114.951827961027
Sqrt Inf Filter,151,2,3,True,0.03225970268249512,5.536431789398193,-1.3124482472736268e+60
Kalman Filter,152,2,3,True,0.02829427719116211,0.4362215995788574,-1121.6447039156992
Information Filter,152,2,3,True,0.04958789348602295,6.0148797035217285,-1.3555879827854747e+63
Sqrt Filter,152,2,3,True,0.024403595924377443,0.5237560272216797,-1121.6447039156994
Sqrt Inf Filter,152,2,3,True,0.033679842948913574,6.831395387649536,-1.1230502984082843e+61
Kalman Filter,153,2,3,True,0.02893242835998535,0.45259928703308105,-1128.3375798703717
Information Filter,153,2,3,True,0.048489952087402345,5.697783470153809,-1.68595735453251e+63
Sqrt Filter,153,2,3,True,0.02427680492401123,0.4440577030181885,-1128.3375798703719
Sqrt Inf Filter,153,2,3,True,0.03346166610717773,6.286779165267944,-8.472215755943632e+61
Kalman Filter,154,2,3,True,0.02903444766998291,0.4747626781463623,-1135.030455825044
Information Filter,154,2,3,True,0.04970216751098633,6.031110048294067,-2.2920222719738378e+64
Sqrt Filter,154,2,3,True,0.0243560791015625,0.454315185546875,-1135.0304558250443
Sqrt Inf Filter,154,2,3,True,0.032912039756774904,6.099182844161987,-2.006209207632676e+62
Kalman Filter,155,2,3,True,0.02986741065979004,0.48442554473876953,-1141.7233317797165
Information Filter,155,2,3,True,0.05028703212738037,5.667657375335693,-2.875456809189085e+64
Sqrt Filter,155,2,3,True,0.026079630851745604,0.535402774810791,-1141.7233317797168
