K,prop_scale,j,acceptance_rate,par_time,seq_time,success,iterations
100,0.018376734693877548,4,0.36389998,4.616842985153198,10.951006650924683,True,3303
100,0.018376734693877548,5,0.3551,4.660554647445679,11.046172857284546,True,3358
100,0.018376734693877548,6,0.3593,4.689911365509033,10.827672719955444,True,3338
100,0.018376734693877548,7,0.35529998,4.603456020355225,10.872891187667847,True,3358
100,0.018376734693877548,8,0.3523,4.539125442504883,10.831960678100586,True,3346
100,0.018376734693877548,9,0.36589998,4.599755525588989,10.855648040771484,True,3350
100,0.024498979591836733,0,0.3012,4.478911399841309,10.847115278244019,True,3324
100,0.024498979591836733,1,0.3013,4.683957576751709,10.866399049758911,True,3376
100,0.024498979591836733,2,0.3121,4.634300708770752,10.892648220062256,True,3350
100,0.024498979591836733,3,0.3108,4.520364046096802,10.952770709991455,True,3266
100,0.024498979591836733,4,0.31,4.7722249031066895,11.019168615341187,True,3437
100,0.024498979591836733,5,0.3008,4.673248052597046,10.83693814277649,True,3375
100,0.024498979591836733,6,0.3074,4.5157997608184814,10.831809282302856,True,3280
100,0.024498979591836733,7,0.3069,4.664434194564819,10.826451778411865,True,3413
100,0.024498979591836733,8,0.2977,4.658011436462402,10.825188875198364,True,3358
100,0.024498979591836733,9,0.312,4.630512952804565,10.842684507369995,True,3373
100,0.030621224489795918,0,0.26119998,4.464443683624268,10.832127094268799,True,3281
100,0.030621224489795918,1,0.25779998,4.684288263320923,10.889430522918701,True,3369
100,0.030621224489795918,2,0.2678,4.603875637054443,10.936670541763306,True,3336
100,0.030621224489795918,3,0.27809998,4.6082398891448975,11.045167207717896,True,3322
100,0.030621224489795918,4,0.2658,4.745676755905151,10.989466190338135,True,3394
100,0.030621224489795918,5,0.2608,4.65395188331604,10.846168994903564,True,3382
100,0.030621224489795918,6,0.2713,4.5860419273376465,10.85152792930603,True,3363
100,0.030621224489795918,7,0.26389998,4.564942121505737,10.87396764755249,True,3359
100,0.030621224489795918,8,0.26319999,4.647994756698608,10.877992153167725,True,3357
100,0.030621224489795918,9,0.2681,4.584304332733154,10.847959756851196,True,3323
100,0.0367434693877551,0,0.235,4.513681411743164,10.873685121536255,True,3286
100,0.0367434693877551,1,0.2356,4.674974679946899,10.94331955909729,True,3358
100,0.0367434693877551,2,0.2341,4.734180927276611,11.026893854141235,True,3400
100,0.0367434693877551,3,0.24,4.589115619659424,10.825690269470215,True,3311
100,0.0367434693877551,4,0.23609999,4.6593499183654785,10.861602067947388,True,3377
100,0.0367434693877551,5,0.2329,4.5441625118255615,10.83043384552002,True,3395
100,0.0367434693877551,6,0.2377,4.523981332778931,10.827579021453857,True,3367
100,0.0367434693877551,7,0.2286,4.500247955322266,10.84960675239563,True,3319
100,0.0367434693877551,8,0.2277,4.6167919635772705,10.83271050453186,True,3376
100,0.0367434693877551,9,0.23339999,4.635681867599487,10.890414714813232,True,3406
100,0.042865714285714285,0,0.21409999,4.460205078125,10.866714239120483,True,3294
100,0.042865714285714285,1,0.20619999,4.489097595214844,10.924992799758911,True,3299
100,0.042865714285714285,2,0.2061,4.683758735656738,10.897899389266968,True,3357
100,0.042865714285714285,3,0.2154,4.556065797805786,10.875511169433594,True,3325
100,0.042865714285714285,4,0.212,4.622734308242798,10.83285665512085,True,3374
100,0.042865714285714285,5,0.2093,4.596506357192993,10.87739372253418,True,3379
100,0.042865714285714285,6,0.2091,4.517312288284302,10.835209369659424,True,3334
100,0.042865714285714285,7,0.2026,4.5910773277282715,10.842785120010376,True,3362
100,0.042865714285714285,8,0.2015,4.580432891845703,10.888742446899414,True,3362
100,0.042865714285714285,9,0.21499999,4.611345052719116,10.818728685379028,True,3390
100,0.04898795918367347,0,0.1899,4.545652866363525,10.895493745803833,True,3300
100,0.04898795918367347,1,0.18879999,4.533127546310425,10.918867349624634,True,3324
100,0.04898795918367347,2,0.1906,4.57352089881897,10.951531887054443,True,3356
100,0.04898795918367347,3,0.1927,4.544304847717285,10.904829740524292,True,3281
100,0.04898795918367347,4,0.1859,4.536918878555298,10.856202363967896,True,3330
100,0.04898795918367347,5,0.1838,4.599522829055786,10.878995180130005,True,3356
100,0.04898795918367347,6,0.19129999,4.507992506027222,10.876818656921387,True,3354
100,0.04898795918367347,7,0.1829,4.590790510177612,10.824346780776978,True,3383
100,0.04898795918367347,8,0.1812,4.571434736251831,10.868040800094604,True,3368
100,0.04898795918367347,9,0.1866,4.529040813446045,10.881138563156128,True,3330
100,0.05511020408163265,0,0.1727,4.441718101501465,10.901952981948853,True,3231
100,0.05511020408163265,1,0.167,4.452274322509766,10.874424695968628,True,3254
100,0.05511020408163265,2,0.1753,4.593352794647217,10.93124794960022,True,3363
100,0.05511020408163265,3,0.1759,4.5187554359436035,10.960533380508423,True,3245
100,0.05511020408163265,4,0.16499999,4.540056467056274,10.919388771057129,True,3325
100,0.05511020408163265,5,0.1654,4.592266082763672,10.86421251296997,True,3355
100,0.05511020408163265,6,0.1679,4.523275852203369,10.823228120803833,True,3323
100,0.05511020408163265,7,0.16849999,4.4786598682403564,10.865288496017456,True,3349
100,0.05511020408163265,8,0.166,4.521352767944336,10.830405950546265,True,3332
100,0.05511020408163265,9,0.1759,4.54624080657959,10.831039905548096,True,3328
100,0.06123244897959183,0,0.15869999,4.445290803909302,10.870794534683228,True,3272
100,0.06123244897959183,1,0.1523,4.42870569229126,10.874686002731323,True,3238
100,0.06123244897959183,2,0.154,4.52921724319458,10.899621486663818,True,3335
100,0.06123244897959183,3,0.1568,4.486303091049194,10.926559209823608,True,3259
100,0.06123244897959183,4,0.1546,4.535670042037964,10.942341566085815,True,3329
100,0.06123244897959183,5,0.1564,4.534111022949219,11.03194260597229,True,3327
100,0.06123244897959183,6,0.15179999,4.505458116531372,10.891361236572266,True,3278
100,0.06123244897959183,7,0.15779999,4.575913429260254,10.85668420791626,True,3335
100,0.06123244897959183,8,0.1463,4.4999518394470215,10.814919471740723,True,3376
100,0.06123244897959183,9,0.1514,4.514270305633545,10.877732038497925,True,3296
100,0.06735469387755103,0,0.1478,4.4062371253967285,10.82477355003357,True,3272
100,0.06735469387755103,1,0.1409,4.3720011711120605,10.830844640731812,True,3229
100,0.06735469387755103,2,0.14549999,4.506711483001709,10.832977771759033,True,3314
100,0.06735469387755103,3,0.1529,4.43220329284668,10.88462209701538,True,3234
100,0.06735469387755103,4,0.1366,4.452592849731445,10.860042333602905,True,3253
100,0.06735469387755103,5,0.1375,4.552067279815674,10.912009000778198,True,3314
100,0.06735469387755103,6,0.14389999,4.500445127487183,10.927448511123657,True,3284
100,0.06735469387755103,7,0.1372,4.574221849441528,10.969939231872559,True,3339
100,0.06735469387755103,8,0.1378,4.542989492416382,10.910064935684204,True,3305
100,0.06735469387755103,9,0.1452,4.510587930679321,10.829370737075806,True,3301
